level,name,code,priority,sample_keywords
city,Berlin,DE,2,air ambulance berlin to israel | medical flight berlin israel | patient transfer berlin israel
city,Frankfurt,DE,2,air ambulance frankfurt to israel | medical flight frankfurt israel | patient transfer frankfurt israel
city,Munich,DE,2,air ambulance munich to israel | medical flight munich israel | patient transfer munich israel
city,Zurich,CH,2,air ambulance zurich to israel | medical flight zurich israel | patient transfer zurich israel
city,Geneva,CH,2,air ambulance geneva to israel | medical flight geneva israel | patient transfer geneva israel
city,Vienna,AT,2,air ambulance vienna to israel | medical flight vienna israel | patient transfer vienna israel
city,Amsterdam,NL,2,air ambulance amsterdam to israel | medical flight amsterdam israel | patient transfer amsterdam israel
city,Brussels,BE,2,air ambulance brussels to israel | medical flight brussels israel | patient transfer brussels israel
city,Madrid,ES,2,air ambulance madrid to israel | medical flight madrid israel | patient transfer madrid israel
city,Barcelona,ES,2,air ambulance barcelona to israel | medical flight barcelona israel | patient transfer barcelona israel
city,Lisbon,PT,2,air ambulance lisbon to israel | medical flight lisbon israel | patient transfer lisbon israel
city,Porto,PT,2,air ambulance porto to israel | medical flight porto israel | patient transfer porto israel
city,Rome,IT,2,air ambulance rome to israel | medical flight rome israel | patient transfer rome israel
city,Milan,IT,2,air ambulance milan to israel | medical flight milan israel | patient transfer milan israel
city,Venice,IT,2,air ambulance venice to israel | medical flight venice israel | patient transfer venice israel
city,Naples,IT,2,air ambulance naples to israel | medical flight naples israel | patient transfer naples israel
city,Athens,GR,2,air ambulance athens to israel | medical flight athens israel | patient transfer athens israel
city,Thessaloniki,GR,2,air ambulance thessaloniki to israel | medical flight thessaloniki israel | patient transfer thessaloniki israel
city,Rhodes,GR,2,air ambulance rhodes to israel | medical flight rhodes israel | patient transfer rhodes israel
city,Heraklion,GR,2,air ambulance heraklion to israel | medical flight heraklion israel | patient transfer heraklion israel
city,Santorini,GR,2,air ambulance santorini to israel | medical flight santorini israel | patient transfer santorini israel
city,Mykonos,GR,2,air ambulance mykonos to israel | medical flight mykonos israel | patient transfer mykonos israel
city,Larnaca,CY,2,air ambulance larnaca to israel | medical flight larnaca israel | patient transfer larnaca israel
city,Paphos,CY,2,air ambulance paphos to israel | medical flight paphos israel | patient transfer paphos israel
city,Prague,CZ,2,air ambulance prague to israel | medical flight prague israel | patient transfer prague israel
city,Budapest,HU,2,air ambulance budapest to israel | medical flight budapest israel | patient transfer budapest israel
city,Warsaw,PL,2,air ambulance warsaw to israel | medical flight warsaw israel | patient transfer warsaw israel
city,Krakow,PL,2,air ambulance krakow to israel | medical flight krakow israel | patient transfer krakow israel
city,Bucharest,RO,2,air ambulance bucharest to israel | medical flight bucharest israel | patient transfer bucharest israel
city,Sofia,BG,2,air ambulance sofia to israel | medical flight sofia israel | patient transfer sofia israel
city,Belgrade,RS,2,air ambulance belgrade to israel | medical flight belgrade israel | patient transfer belgrade israel
city,Zagreb,HR,2,air ambulance zagreb to israel | medical flight zagreb israel | patient transfer zagreb israel
city,Ljubljana,SI,2,air ambulance ljubljana to israel | medical flight ljubljana israel | patient transfer ljubljana israel
city,Dubrovnik,HR,2,air ambulance dubrovnik to israel | medical flight dubrovnik israel | patient transfer dubrovnik israel
city,Tivat,ME,2,air ambulance tivat to israel | medical flight tivat israel | patient transfer tivat israel
city,Podgorica,ME,2,air ambulance podgorica to israel | medical flight podgorica israel | patient transfer podgorica israel
city,Batumi,GE,2,air ambulance batumi to israel | medical flight batumi israel | patient transfer batumi israel
city,Tbilisi,GE,2,air ambulance tbilisi to israel | medical flight tbilisi israel | patient transfer tbilisi israel
city,Dubai,AE,2,air ambulance dubai to israel | medical flight dubai israel | patient transfer dubai israel
city,Abu Dhabi,AE,2,air ambulance abu dhabi to israel | medical flight abu dhabi israel | patient transfer abu dhabi israel
city,Tokyo,JP,2,air ambulance tokyo to israel | medical flight tokyo israel | patient transfer tokyo israel
city,Osaka,JP,2,air ambulance osaka to israel | medical flight osaka israel | patient transfer osaka israel
city,Bangkok,TH,2,air ambulance bangkok to israel | medical flight bangkok israel | patient transfer bangkok israel
city,Phuket,TH,2,air ambulance phuket to israel | medical flight phuket israel | patient transfer phuket israel
city,Singapore,SG,2,air ambulance singapore to israel | medical flight singapore israel | patient transfer singapore israel
city,Johannesburg,ZA,2,air ambulance johannesburg to israel | medical flight johannesburg israel | patient transfer johannesburg israel
city,Cape Town,ZA,2,air ambulance cape town to israel | medical flight cape town israel | patient transfer cape town israel
city,Sydney,AU,2,air ambulance sydney to israel | medical flight sydney israel | patient transfer sydney israel
city,Melbourne,AU,2,air ambulance melbourne to israel | medical flight melbourne israel | patient transfer melbourne israel
city,Casablanca,MA,2,air ambulance casablanca to israel | medical flight casablanca israel | patient transfer casablanca israel
city,Marrakech,MA,2,air ambulance marrakech to israel | medical flight marrakech israel | patient transfer marrakech israel
city,Tel Aviv,IL,1,air ambulance tel aviv to israel | medical flight tel aviv israel | patient transfer tel aviv israel
city,Jerusalem,IL,1,air ambulance jerusalem to israel | medical flight jerusalem israel | patient transfer jerusalem israel
city,Haifa,IL,1,air ambulance haifa to israel | medical flight haifa israel | patient transfer haifa israel
